Rk,From,To,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,SALARY
1,2008,2008,SAC,NBA,Shareef Abdur-Rahim,6,0,51,3,14,3,14,0,0,4,4,6,4,10,4,1,0,1,9,10,0.214,0.214,,0.214,1,0.317,12400000
2,2017,2017,OKC,NBA,Alex Abrines,68,6,1055,134,341,40,94,94,247,44,49,18,68,86,40,37,8,33,114,406,0.393,0.426,0.381,0.531,0.898,0.56,5994764
3,2009,2009,TOT,NBA,Alex Acker,25,0,199,30,76,23,56,7,20,5,10,8,16,24,12,5,4,7,9,72,0.395,0.411,0.35,0.441,0.5,0.448,711517
4,2013,2017,TOT,NBA,Quincy Acy,257,52,3910,449,931,370,715,79,216,237,316,266,631,897,152,106,102,155,492,1214,0.482,0.517,0.366,0.525,0.75,0.567,6315968
5,2009,2009,TOR,NBA,Hassan Adams,12,0,52,4,13,4,13,0,0,3,6,1,6,7,1,1,1,4,4,11,0.308,0.308,,0.308,0.5,0.352,297163
6,2015,2016,MEM,NBA,Jordan Adams,32,0,263,37,92,27,66,10,26,17,28,9,21,30,19,19,7,16,26,101,0.402,0.409,0.385,0.457,0.607,0.484,4213800
7,2014,2017,OKC,NBA,Steven Adams,311,247,7371,945,1665,945,1662,0,3,453,794,841,1160,2001,257,209,310,400,843,2343,0.568,0.569,0,0.568,0.571,0.582,9695397
8,2011,2015,TOT,NBA,Jeff Adrien,153,17,2148,264,557,264,555,0,2,181,288,221,438,659,100,50,79,91,259,709,0.474,0.476,0,0.474,0.628,0.518,3314407
9,2008,2017,TOT,NBA,Arron Afflalo,709,534,20147,2918,6471,2093,4336,825,2135,1358,1647,330,1780,2110,1356,337,132,831,1425,8019,0.451,0.483,0.386,0.515,0.825,0.557,55880777
10,2008,2011,TOT,NBA,Maurice Ager,50,3,291,42,119,36,90,6,29,10,20,7,18,25,12,2,3,14,38,100,0.353,0.4,0.207,0.378,0.5,0.391,2100145
11,2008,2012,TOT,NBA,Blake Ahearn,19,0,226,21,77,7,30,14,47,32,33,1,21,22,22,7,0,22,27,88,0.273,0.233,0.298,0.364,0.97,0.481,125562
12,2009,2017,TOT,NBA,Alexis Ajinca,293,76,3905,645,1283,633,1241,12,42,251,315,346,804,1150,143,102,181,249,661,1553,0.503,0.51,0.286,0.507,0.797,0.546,13997324
13,2013,2013,DAL,NBA,Josh Akognon,3,0,9,2,4,1,2,1,2,0,0,0,1,1,1,0,0,0,3,5,0.5,0.5,0.5,0.625,,0.625,788872
14,2011,2012,TOR,NBA,Solomon Alabi,26,0,181,16,51,16,51,0,0,7,10,22,39,61,5,4,11,8,16,39,0.314,0.314,,0.314,0.7,0.352,1600000
15,2015,2015,PHI,NBA,Furkan Aldemir,41,9,540,40,78,40,73,0,5,13,27,78,98,176,28,17,16,17,96,93,0.513,0.548,0,0.513,0.481,0.517,6000000
16,2011,2017,TOT,NBA,Cole Aldrich,318,23,3340,430,810,430,810,0,0,178,238,331,785,1116,180,135,232,198,498,1038,0.531,0.531,,0.531,0.748,0.567,16583663
17,2008,2017,TOT,NBA,LaMarcus Aldridge,731,731,26176,5916,12180,5832,11889,84,291,2655,3297,1940,4337,6277,1486,589,754,1200,1819,14571,0.486,0.491,0.289,0.489,0.805,0.534,122130592
18,2016,2016,POR,NBA,Cliff Alexander,8,0,36,5,10,5,10,0,0,0,0,2,4,6,0,1,2,1,1,10,0.5,0.5,,0.5,,0.5,576542
19,2009,2010,TOT,NBA,Joe Alexander,67,0,745,103,251,87,204,16,47,60,86,46,74,120,44,16,30,52,116,282,0.41,0.426,0.34,0.442,0.698,0.488,5076945
20,2012,2017,TOT,NBA,Lavoy Allen,388,87,6905,828,1758,826,1743,2,15,189,277,715,1128,1843,384,120,214,257,706,1847,0.471,0.474,0.133,0.472,0.682,0.491,15181767
